question,answer
Làm thế nào để đặt vé máy bay trên Vexere?,"Hiện nay, Quý khách có thể đặt vé máy bay trực tuyến - online vô cùng tiện lợi và tiết kiệm thời gian thông qua ứng dụng Vexere hoặc website goyolo.com. Chỉ với các thao tác đơn giản khi chọn thông tin chuyến bay như:

- Điểm đi
- Điểm đến
- Ngày khởi hành
- Số lượng hành khách

Sau khi chọn được chuyến bay phù hợp và thanh toán vé, quý khách sẽ nhận được 02 email ""Xác nhận thanh toán thành công"" và email ""Vé điện tử xuất thành công"". 

Khi quý khách làm thủ tục tại quầy sân bay, vui lòng cung cấp mã đặt chỗ (6 kí tự chữ/số) - thông tin này được đính kèm trong email ""Vé điện tử xuất thành công"". Quý khách gửi mã đặt chỗ này kèm giấy tờ tùy thân còn hạn sử dụng để nhân viên tại quầy hỗ trợ.

*Thông tin giá vé hiển thị là giá cuối cùng đã bao gồm đầy đủ các chi phí."
Làm sao để kiểm tra thông tin vé đã đặt?,"Quý khách có thể truy cập ứng dụng Vexere hoặc website Goyolo.com chọn mục ""Vé của tôi"" để xem thông tin chi tiết vé đã đặt. Ngoài ra quý khách có thể kiểm tra trực tiếp trên website hãng hàng không bằng cách nhập mã đặt chỗ kèm họ, chi tiết như sau:

Vietjet Air: phần ""Chuyến bay của tôi""
Vietnam Airlines: phần ""Quản lý đặt chỗ"".
Bamboo Airways: phần ""Đặt chỗ của tôi"". 

Lưu ý: Hãng Vietravel Airlines hiện tại chỉ có đại lý kiểm tra được thông tin trên Website của hãng và các hãng trên quý khách thực hiện tra vé nhưng chưa có thông tin cần liên hệ tổng đài 1900 6484 để được hỗ trợ kịp thời."
Tôi muốn nhận vé điện tử như khi đặt qua hãng có được không?,"Sau khi đặt vé thành công, Vexere đã gửi email bao gồm thông tin chi tiết chuyến bay kèm mã đặt chỗ, đồng thời Vexere đã thực hiện đính kèm vé điện tử ở cuối email. 

Khi tiến hành thủ tục tại quầy, quý khách vui lòng gửi mã đặt chỗ kèm giấy tờ tùy thân còn hạn sử dụng để nhân viên tại sân bay hỗ trợ."
Làm thế nào để in thông tin vé?,"Quý khách có thể in vé điện tử sau khi đặt vé thành công, vé điện tử được đính kèm qua email khi quý khách đã thực hiện thanh toán thành công và Vexere đã thực hiện xuất vé. 

Để in vé điện tử, quý khách vui lòng tải xuống tệp tin đính kèm và tiến hành in bản cứng (nếu cần)."
Tại sao vé đặt thành công nhưng không hiển thị số ghế?,"Chỗ ngồi của quý khách đã được chọn ngẫu nhiên sau khi đặt vé thành công và sẽ thể hiện khi check-in tại quầy hoặc trực tuyến (Online)

Khi check-in tại quầy, nhân viên hãng bay có thể sắp xếp chỗ ngồi gần nhau đối với mã đặt chỗ bao gồm nhiều hành khách tùy vào tình trạng chỗ ngồi trên chuyến bay và thời gian quý khách thực hiện thủ tục.

Quý khách có thể thực hiện check-in online sớm từ 24 tiếng đến 01 tiếng trước giờ khởi hành trên ứng dụng của Vexere để chủ động tự chọn chỗ ngồi trước chuyến bay."
Tôi có thể đặt tối đa bao nhiêu vé máy bay trong một lần giao dịch?,"Theo quy định của hãng hàng không, Quý khách có thể đặt vé được tối đa cho 9 vé (không bao gồm trẻ sơ sinh dưới 2 tuổi) trong một lần giao dịch. "
Giá vé đã bao gồm những khoản phí nào?,"Giá vé hiển thị trên ứng dụng Vexere hoặc website goyolo.com là tổng giá vé đã bao gồm đủ các loại thuế và phí. Sau khi đặt vé và thanh toán, quý khách sẽ nhận được 02 email ""Xác nhận thanh toán thành công"" và email ""Vé điện tử xuất thành công"", Quý khách vui lòng dùng mã đặt chỗ trong email và giấy tờ tùy thân còn hạn sử dụng để làm thủ tục tại sân bay,

Lưu ý: Quý khách không phải thanh toán thêm phí nào khác (trừ khi có các khoản phát sinh như dịch vụ cộng thêm hoặc hành lý quá cước tại sân bay...)."
Cách xuất hóa đơn cho vé đã mua?,"Sau khi đặt vé thành công, quý khách vui lòng chọn vào mục ""Vé của tôi"" trên ứng dụng Vexere, sau đó chọn vào vé cần xuất hoá đơn và chọn ""Yêu cầu xuất hóa đơn điện tử"" để nhập các thông tin cần thiết. Sau khi hoàn tất, Vexere sẽ gửi email đến quý khách theo thông tin được cung cấp dự kiến trong vòng 3-5 ngày làm việc.
"
Cách sử dụng mã bảo lưu định danh như thế nào?,"Khi bạn hủy vé Vietjet đã đặt qua Vexere và nhận được mã bảo lưu định danh, bạn có thể sử dụng mã này để đặt vé mới theo các bước sau:

Liên hệ với Vexere: Cung cấp thông tin chuyến bay cần đặt bao gồm 

- Số hiệu chuyến bay
- Ngày đi
- Hành trình bay
- Hành khách

Sau khi nhận được thông tin trên, Vexere sẽ tiến hành kiểm tra phần phí và gửi email xác nhận thông tin với khách hàng.

Lưu ý quan trọng:

Thời hạn sử dụng tiền bảo lưu: Tiền bảo lưu thường có thời hạn sử dụng là 01 năm kể từ ngày khởi hành của chuyến bay ban đầu. Bạn nên kiểm tra kỹ thời hạn này để tránh mất quyền lợi.

Phí và điều kiện áp dụng: Việc sử dụng tiền bảo lưu có thể kèm theo một số phí hoặc điều kiện nhất định. 
"
Quy định cho phụ nữ mang thai khi đi máy bay,"Phụ nữ mang thai dưới 32 tuần được chấp nhận vận chuyển như những hành khách thông thường ở mọi hãng bay (Cần chuẩn bị giấy hoặc sổ xác nhận tuần thai được phòng khám/ bệnh viện cấp huyện trở lên còn hạn trong vòng 07 ngày so với ngày khởi hành).

Phụ nữ mang thai từ tuần 32 đến tuần 36 chỉ có hãng Bamboo Airways và Vietnam Airlines chấp nhận vận chuyển và kèm theo điều kiện giấy tờ sức khỏe liên quan.

Phụ nữ mang thai trên 36 tuần hoặc phụ nữ dự kiến sinh trong vòng 7 ngày hoặc phụ nữ sau sinh trong 7 ngày các hãng đều từ chối vận chuyển vì sự an toàn về sức khỏe của hành khách.

Ngoài những quy định phụ nữ mang thai đi máy bay được áp dụng chung như trên, mỗi hàng hàng không sẽ có những quy định riêng cho các trường hợp đặc biệt."
